# Illucrum Website SEO Audit

The Illucrum Website SEO Audit is a fixed-price, point-by-point review of a business website against 54 points in 9 sections: technical health, on-page SEO, keywords, backlinks, competitors, trust signals, local presence, user experience and AI search visibility. It is built for service businesses, consultancies, agencies and B2B firms: businesses that sell expertise, where being found is only half the job and convincing a cautious visitor is the other half.

You receive a written report with every point scored and a prioritized list of fixes. The price is fixed, published and the same for everyone. The report is the end of the transaction: no retainer, no subscription, and nothing sold afterward.

| | |
|---|---|
| **Audit** | Illucrum Website SEO Audit |
| **Built for** | Service businesses, consultancies, agencies, B2B and any other site that isn't a SaaS product, an online store or a mainly local business |
| **The question it answers** | Can this site be found, trusted and chosen in search? |
| **Points checked** | 54, in 9 sections (51 if the business has no location or service area) |
| **You receive** | A written report: every point scored, with a prioritized fix list |
| **Price and delivery time** | Published on illucrum.com. One fixed price, the same for everyone |
| **Carried out by** | Szymon Kokot, Illucrum |

## Who this audit is for

- Consultancies, agencies and professional service firms
- B2B companies that win work through their website
- Practices and independent professionals who sell expertise
- Any business site that isn't a software product, an online store or a mainly local business

**A different audit may fit better if:**

- Your site sells software with a trial, demo or signup: the SaaS SEO Audit (54 points)
- Your site is an online store: the E-commerce SEO Audit (54 points)
- Most of your customers find you through local searches and maps: the Local Business SEO Audit (54 points)
- You only need the technical layer checked: the Technical SEO Audit (36 points)
- Your main concern is visibility in AI assistants: the GEO Audit (51 points)

## What the audit covers

The Website SEO Audit checks 54 points in 9 sections. Each point is scored on its own.

| # | Section | Points |
|---|---|---|
| 1 | Technical SEO | 12 |
| 2 | On-Page SEO | 10 |
| 3 | Keyword Opportunities | 6 |
| 4 | Backlink Profile | 5 |
| 5 | Competitor Comparison | 3 |
| 6 | Trust & E-E-A-T | 5 |
| 7 | Local Presence | 3 |
| 8 | UX & Conversion | 4 |
| 9 | AI Search Visibility | 6 |
| | **Total** | **54** |

### 1. Technical SEO (12 points)

Whether search engines can reach, load and index the site. Everything else in the audit depends on this layer.

| # | Point | What it looks at |
|---|---|---|
| 1 | Page Speed (Mobile & Desktop) | How quickly key pages load on phones and computers, and what slows them down. |
| 2 | Core Web Vitals (LCP, INP, CLS) | Google's measures of real visitor experience: how fast the main content appears, how quickly the page responds, and whether the layout jumps while it loads. |
| 3 | Mobile Usability | Whether pages read and work properly on a phone: text, layout, menus, buttons and forms. |
| 4 | HTTPS & SSL Certificate | Whether every page is served securely, with a valid certificate and no insecure versions left reachable. |
| 5 | XML Sitemap | Whether the sitemap exists, lists the pages that should be found, and leaves out the ones that shouldn't. |
| 6 | Robots.txt | Whether the file that tells crawlers where they may go lets them reach every page that matters. |
| 7 | Canonical Tags | Whether each page tells search engines which version of itself is the main one. |
| 8 | Structured Data | Whether the site describes itself to search engines in structured markup, and whether that markup is valid and accurate. |
| 9 | Index Coverage | How many pages Google has indexed, which ones it has left out, and why. |
| 10 | Redirect Chains & Broken Links | Links that lead to missing pages, and redirects that pass through several steps before they arrive. |
| 11 | Duplicate & Thin Pages | Pages that repeat each other, or say too little to be worth ranking. |
| 12 | Hreflang (Multilingual Sites) | For sites in more than one language or country, whether search engines show each visitor the right version. Marked N/A for single-language sites. |

### 2. On-Page SEO (10 points)

The signals on each page that tell search engines and visitors what the page is about, and whether its content deserves to rank.

| # | Point | What it looks at |
|---|---|---|
| 13 | Title Tags | Whether every page has a unique, descriptive title that matches what people search for. |
| 14 | Meta Descriptions | Whether the summaries shown under your pages in search results are present, unique and worth clicking. |
| 15 | Heading Structure (H1 to H3) | Whether each page has one clear main heading and a logical outline beneath it. |
| 16 | Image Alt Text | Whether images carry text descriptions for search engines and screen readers. |
| 17 | Content Quality & Depth | Whether each key page fully answers what a visitor arriving from search came to find. |
| 18 | Internal Linking | Whether important pages are linked from the rest of the site, with link text that says where each link leads. |
| 19 | URL Structure | Whether page addresses are short, readable and consistent. |
| 20 | Open Graph & Social Previews | How pages look when they are shared on social platforms and in messaging apps. |
| 21 | Content Freshness | Whether key pages and articles are kept current, and whether the dates they show are accurate. |
| 22 | Keyword Placement | Whether each page uses the words its audience searches for in the places that matter, without stuffing. |

### 3. Keyword Opportunities (6 points)

What the site ranks for today, where the nearest gains are, and whether each page has a clear job.

| # | Point | What it looks at |
|---|---|---|
| 23 | Ranking Keywords Overview | The searches the site already appears for, how often it is seen, and how often it is clicked. |
| 24 | Target Query Positions & Striking Distance | Where the site ranks for the searches that matter most to the business, and which of them are close to the top. |
| 25 | Keyword Mapping & Cannibalization | Whether each important search has one clear page, or several pages competing with each other. |
| 26 | Search Intent Alignment | Whether each page is the kind of page searchers want for its query: a service page, a guide or a comparison. |
| 27 | Keyword Gap vs Competitors | Relevant searches where competitors appear and the site doesn't. |
| 28 | Branded vs Non-Branded Split | How much search traffic comes from people who already know the business, and how much from people who don't. |

### 4. Backlink Profile (5 points)

Links from other websites to yours: how many, from where, and how healthy they look. Recorded as a snapshot on the audit date.

| # | Point | What it looks at |
|---|---|---|
| 29 | Referring Domains & Link Diversity | How many different websites link to yours, and how varied and relevant they are. |
| 30 | Link Quality & Unnatural Patterns | Whether any links look bought, built or spammy, and whether Google has taken action against the site because of them. |
| 31 | Anchor Text Distribution | The words other sites use when they link to you, and whether the mix looks natural. |
| 32 | Backlinked Pages & Broken Link Targets | Which of your pages attract links from other sites, and whether any of those links point to pages that no longer exist. |
| 33 | Competitor Link Gap | How your link profile compares with your competitors', and which sites link to them but not to you. |

### 5. Competitor Comparison (3 points)

How the site compares with the competitors that win the searches you want. These are not always the businesses you think of as competitors, and the report notes both.

| # | Point | What it looks at |
|---|---|---|
| 34 | Authority Comparison | How your site's overall strength in search compares with your competitors'. |
| 35 | Page-Type Comparison | The kinds of pages competitors have and you don't: individual service pages, case studies, guides, pricing or FAQs. |
| 36 | Content Gap vs Competitor Pages | What the best competing pages cover that yours don't, for your key services. |

### 6. Trust & E-E-A-T (5 points)

Whether a visitor, and Google, can see who is behind the business and believe what it says. These points carry the most weight for advice-led businesses such as legal, financial, health and consulting firms.

| # | Point | What it looks at |
|---|---|---|
| 37 | About Page & Business Identity | Whether it is clear who runs the business, what it does, for whom and where, with details a visitor can verify. |
| 38 | Authorship & Expertise | Whether articles and advice carry named authors with relevant experience. Marked N/A if the site publishes no articles. |
| 39 | Proof of Work | Case studies, examples, reviews and credentials that show what the business has actually done. |
| 40 | Contact & Company Details | Whether the business is easy to reach, and the company behind the site is clearly identified. |
| 41 | Legal & Policy Pages | Whether privacy, terms and cookie information are in place, and whether cookie consent works as it says. |

### 7. Local Presence (3 points)

A light check for businesses with an office or a service area. Scored only if that applies; otherwise these three points are marked N/A and the audit covers 51 points. The Local Business SEO Audit covers this layer in depth.

| # | Point | What it looks at |
|---|---|---|
| 42 | Google Business Profile | Whether the business has a claimed, complete and accurate Google Business Profile. |
| 43 | NAP Consistency & Local Schema | Whether the business name, address and phone number are the same everywhere on the site, and marked up for search engines. |
| 44 | Local Search Visibility | Whether the business appears when people in its area search for what it does. |

### 8. UX & Conversion (4 points)

Whether visitors who arrive from search can find their way and take the next step.

| # | Point | What it looks at |
|---|---|---|
| 45 | Calls to Action | Whether each key page makes the next step clear and easy to take. |
| 46 | Navigation & Site Structure | Whether the menu and site structure help visitors find what they came for. |
| 47 | Engagement (GA4) | How visitors who arrive from search behave on key pages, from your own analytics. Marked N/A without analytics access. |
| 48 | Intrusive Pop-Ups & Interstitials | Whether pop-ups or overlays get in the way of the content, especially on phones. |

### 9. AI Search Visibility (6 points)

Whether AI assistants and Google's AI Overviews can reach the site, understand it and cite it. A short version of the GEO Audit.

| # | Point | What it looks at |
|---|---|---|
| 49 | Google AI Overview Presence | Whether Google's AI Overviews appear for your key searches, and whether they cite your site. |
| 50 | AI Assistant Visibility | Whether assistants such as ChatGPT, Perplexity and Gemini mention or recommend the business when asked relevant questions. |
| 51 | Answer-Ready Content Structure | Whether key pages answer the question they target clearly and early, in a form AI systems can quote. |
| 52 | Citable Specifics & Original Data | Whether pages contain concrete, checkable facts rather than general claims. |
| 53 | Entity Markup (Organization & sameAs) | Whether the site tells machines clearly who the business is, and links to its profiles elsewhere. |
| 54 | AI Crawler Access | Whether the crawlers behind AI assistants are allowed to reach the site. |

## What you get

- **A written report** covering every point, each scored from 1 to 10 and marked Good, Needs attention or Critical, with a plain-English explanation of what was found.
- **A prioritized fix list.** Anything that stops search engines or AI crawlers from reaching or indexing the site comes first, then other critical issues, then quick improvements, then the rest.
- **Findings specific to your site.** Every finding refers to real pages, figures and examples from your site, not generic advice.
- **Dated figures.** Rankings, links, reviews and AI answers are recorded with the date they were seen, so the report also works as a baseline you can compare against yourself.
- **Points that don't apply are marked N/A** and left out of the scoring, with a short note on why.
- **Yours to act on.** The report is written so you can make the fixes yourself, hand it to your developer, or hire anyone you like.

## What Illucrum needs from you

- **Read access to Google Search Console** (a restricted user is enough) **and Google Analytics 4** (viewer access).
- **A short description** of what the business sells, who it sells to, and the searches you want to be found for.
- **Whether the business has an office or a service area** where it wants to be found locally. This decides whether the local section is scored.
- **The competitors you have in mind** (optional). The audit compares you with the sites that actually win your searches, and notes both.
- **Nothing is changed** on your site or in your accounts. Access is used only to read.
- **If you'd rather not give access,** the points that depend on it are marked N/A and the report says which. Nothing is guessed.

## What's not included

- **Implementing the fixes.** The audit finds and prioritizes the issues; the work itself is yours to do or assign.
- **Ongoing monitoring, retainers or subscriptions.**
- **Forecasts of traffic, leads or revenue,** and guarantees of rankings.
- **Anything sold afterward.** Nothing is pitched during or after the audit.

## Limits, stated up front

- **Backlinks are a snapshot.** The link profile is recorded as it stands on the audit date. The audit doesn't report links gained or lost over time, because no reliable history of them is available. The figures work as a baseline you can compare against later.
- **Link and authority figures are estimates.** They come from third-party data, not from Google, and are used to compare your site with competitors on the same day rather than as absolute numbers.
- **Rankings and AI answers vary** with location, device, personalization and date. The report records what was seen, when and where.
- **The local section applies only to local businesses.** If the business has no location or service area, its three points are marked N/A and the audit covers 51 points.
- **Your contact form may receive one test message,** clearly marked as a test, to confirm that inquiries arrive.

## How it works

1. **You get in touch** and say which audit you want, or ask which one fits your site.
